Sample	Passed Filter	Low Quality	Too Many N	Too Short	Too Long
EASI242_L4_polyg	2024498.0	0.0	0.0	2542.0	0.0
EASI243_L1_polyg	2521836.0	0.0	0.0	1114.0	0.0
EASI243_L2_polyg	2428040.0	0.0	0.0	1046.0	0.0
EASI243_L3_polyg	2446276.0	0.0	0.0	1126.0	0.0
EASI243_L4_polyg	2067098.0	0.0	0.0	1108.0	0.0
EASI244_L1_polyg	1978246.0	0.0	0.0	1150.0	0.0
EASI244_L2_polyg	1903130.0	0.0	0.0	764.0	0.0
EASI244_L3_polyg	1927144.0	0.0	0.0	1130.0	0.0
EASI244_L4_polyg	1719436.0	0.0	0.0	992.0	0.0
EASI245_L1_polyg	2177002.0	0.0	0.0	974.0	0.0
EASI245_L2_polyg	2080958.0	0.0	0.0	910.0	0.0
EASI245_L3_polyg	2117752.0	0.0	0.0	1034.0	0.0
EASI245_L4_polyg	1825484.0	0.0	0.0	1094.0	0.0
EASI246_L1_polyg	2004878.0	0.0	0.0	1302.0	0.0
EASI246_L2_polyg	1913258.0	0.0	0.0	1128.0	0.0
EASI246_L3_polyg	1935434.0	0.0	0.0	1350.0	0.0
EASI246_L4_polyg	1577442.0	0.0	0.0	1262.0	0.0
EASI247_L1_polyg	2523310.0	0.0	0.0	1546.0	0.0
EASI247_L2_polyg	2422708.0	0.0	0.0	1394.0	0.0
EASI247_L3_polyg	2448572.0	0.0	0.0	1576.0	0.0
EASI247_L4_polyg	2093982.0	0.0	0.0	1658.0	0.0
EASI248_L1_polyg	3411514.0	0.0	0.0	1628.0	0.0
EASI248_L2_polyg	3304032.0	0.0	0.0	1344.0	0.0
EASI248_L3_polyg	3322312.0	0.0	0.0	1462.0	0.0
EASI248_L4_polyg	2806406.0	0.0	0.0	1536.0	0.0
EASI249_L1_polyg	1880526.0	0.0	0.0	752.0	0.0
EASI249_L2_polyg	1794200.0	0.0	0.0	670.0	0.0
EASI249_L3_polyg	1803672.0	0.0	0.0	766.0	0.0
EASI249_L4_polyg	1400902.0	0.0	0.0	620.0	0.0
EASI250_L1_polyg	2036232.0	0.0	0.0	1130.0	0.0
EASI250_L2_polyg	1962416.0	0.0	0.0	900.0	0.0
EASI250_L3_polyg	1978148.0	0.0	0.0	1090.0	0.0
EASI250_L4_polyg	1628684.0	0.0	0.0	1096.0	0.0
EASI251_L1_polyg	2647510.0	0.0	0.0	1520.0	0.0
EASI251_L2_polyg	2522574.0	0.0	0.0	1352.0	0.0
EASI251_L3_polyg	2546146.0	0.0	0.0	1482.0	0.0
EASI251_L4_polyg	2133564.0	0.0	0.0	1506.0	0.0
EASI252_L1_polyg	2335848.0	0.0	0.0	640.0	0.0
EASI252_L2_polyg	2264478.0	0.0	0.0	556.0	0.0
EASI252_L3_polyg	2251070.0	0.0	0.0	594.0	0.0
EASI252_L4_polyg	1903478.0	0.0	0.0	562.0	0.0
EASI253_L1_polyg	2603800.0	0.0	0.0	848.0	0.0
