tax_id	scientific_name	sample_alias	sample_title	sample_description	project name	collection date	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	broad-scale environmental context	local environmental context	environmental medium
410658	metagenome	EASI039A	KOK-009	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.26656	10.87857	anatomical entity environment	bone	Tooth
410658	metagenome	EASI039B	KOK-009	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.26656	10.87857	anatomical entity environment	bone	Tooth
410658	metagenome	EASI039C	KOK-009	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.26656	10.87857	anatomical entity environment	bone	Tooth
410658	metagenome	EASI039D	KOK-009	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.26656	10.87857	anatomical entity environment	bone	Mandible
410658	metagenome	EASI040	KAGN-001	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.22281	10.84499	anatomical entity environment	bone	Tooth
410658	metagenome	EASI041	KAGN-002	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.22281	10.84499	anatomical entity environment	bone	Tooth
410658	metagenome	EASI042	KAGN-003	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.22281	10.84499	anatomical entity environment	bone	Mandible
410658	metagenome	EASI043	KAGN-004	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.22281	10.84499	anatomical entity environment	bone	Tooth
410658	metagenome	EASI044	KAGN-005	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.22281	10.84499	anatomical entity environment	bone	Tooth
410658	metagenome	EASI045	KAGN-006	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.22281	10.84499	anatomical entity environment	bone	Tooth
410658	Canis metagenome	4609.F2	AZP_081	Metagenome from archaeological sample	PRJEB63473	Poland	52.79886	18.26387	anatomical entity environment	bone	Skull
410658	Bos metagenome	6309.F2	AZP_082	Metagenome from archaeological sample	PRJEB63473	Poland	52.79886	18.26387	anatomical entity environment	bone	Femur
410658	Bos metagenome	10209.F1	AZP_083	Metagenome from archaeological sample	PRJEB63473	Poland	52.79886	18.26387	anatomical entity environment	bone	Humerus
410658	Equus metagenome	10809.F1	AZP_084	Metagenome from archaeological sample	PRJEB63473	Poland	52.79886	18.26387	anatomical entity environment	bone	Rib
410658	Bos metagenome	11709.F1	AZP_085	Metagenome from archaeological sample	PRJEB63473	Poland	52.79886	18.26387	anatomical entity environment	bone	Humerus
410658	Ovis metagenome	13309.F3	AZP_086	Metagenome from archaeological sample	PRJEB63473	Poland	52.79886	18.26387	anatomical entity environment	bone	Rib
410658	Ovis metagenome	13309.F4	AZP_087	Metagenome from archaeological sample	PRJEB63473	Poland	52.79886	18.26387	anatomical entity environment	bone	Radius
410658	Ovis metagenome	13309.F5	AZP_088	Metagenome from archaeological sample	PRJEB63473	Poland	52.79886	18.26387	anatomical entity environment	bone	Radius
410658	Ovis metagenome	13309.F6	AZP_089	Metagenome from archaeological sample	PRJEB63473	Poland	52.79886	18.26387	anatomical entity environment	bone	Ulna
410658	Ovis metagenome	13309.F7	AZP_090	Metagenome from archaeological sample	PRJEB63473	Poland	52.79886	18.26387	anatomical entity environment	bone	Tibia
410658	Sus metagenome	14009.F1	AZP_091	Metagenome from archaeological sample	PRJEB63473	Poland	52.79886	18.26387	anatomical entity environment	bone	Humerus
410658	Bos metagenome	16909.F4	AZP_092	Metagenome from archaeological sample	PRJEB63473	Poland	52.79886	18.26387	anatomical entity environment	bone	Lumbar vertebra
