Node	EASI021.unmapped.rma6	EASI022.unmapped.rma6	EASI023A.unmapped.rma6	EASI023B.unmapped.rma6	EASI023C.unmapped.rma6	EASI031A.unmapped.rma6	EASI031B.unmapped.rma6	EASI031C.unmapped.rma6	EASI032.unmapped.rma6	EASI024.unmapped.rma6	EASI025.unmapped.rma6	EASI026A.unmapped.rma6	EASI026B.unmapped.rma6	EASI027.unmapped.rma6	EASI028A.unmapped.rma6	EASI028B.unmapped.rma6	EASI001.unmapped.rma6	EASI019A.unmapped.rma6	EASI019B.unmapped.rma6	EASI020A.unmapped.rma6	EASI020B.unmapped.rma6	EASI020C.unmapped.rma6	EASI020D.unmapped.rma6	EASI029.unmapped.rma6	EASI030.unmapped.rma6	EASI002.unmapped.rma6	EASI003A.unmapped.rma6	EASI003B.unmapped.rma6	EASI003C.unmapped.rma6	EASI004A.unmapped.rma6	EASI004B.unmapped.rma6	EASI005.unmapped.rma6	EASI006A.unmapped.rma6	EASI006B.unmapped.rma6	EASI007A.unmapped.rma6	EASI007B.unmapped.rma6	EASI008.unmapped.rma6	EASI009.unmapped.rma6	EASI010.unmapped.rma6	EASI011.unmapped.rma6	EASI012A.unmapped.rma6	EASI012B.unmapped.rma6	EASI013.unmapped.rma6	EASI014.unmapped.rma6	EASI015A.unmapped.rma6	EASI015B.unmapped.rma6	EASI015C.unmapped.rma6	EASI015D.unmapped.rma6	EASI016A.unmapped.rma6	EASI016B.unmapped.rma6	EASI017A.unmapped.rma6	EASI017B.unmapped.rma6	EASI018.unmapped.rma6	EASI040.unmapped.rma6	EASI041.unmapped.rma6	EASI042.unmapped.rma6	EASI033A.unmapped.rma6	EASI033B.unmapped.rma6	EASI034.unmapped.rma6	EASI043.unmapped.rma6	EASI044.unmapped.rma6	EASI045.unmapped.rma6	EASI035.unmapped.rma6	EASI037.unmapped.rma6	EASI038.unmapped.rma6	EASI039A.unmapped.rma6	EASI039B.unmapped.rma6	EASI039C.unmapped.rma6	EASI039D.unmapped.rma6
Corynebacterium_kroppenstedtii	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	2	1	1	0	1	2	1	1	0	0	0	2	2	0	3	2	0	3	1	0	0	1	2	0	0	1	0	1	2	0	0	2	1	1	1	3	0	0	0	0	2	1	3	6	0	0	2	2	2	4	6
Corynebacterium_kroppenstedtii_DSM_44385	0	0	0	1	1	1	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	13	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	2	0	0	1	0	3	0	0	2	0	0	0	1
Corynebacterium_maris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_maris_DSM_45190	5	5	2	2	1	1	1	3	1	3	3	1	2	2	3	5	1	1	2	2	2	3	3	2	3	2	2	0	2	1	4	2	4	1	1	2	2	2	2	0	2	0	1	1	2	5	5	4	3	3	1	2	0	7	9	6	3	0	0	7	10	9	2	4	0	7	7	8	9
Corynebacterium_matruchotii	0	1	0	0	2	0	1	0	1	0	1	1	0	0	2	0	1	0	0	0	0	2	1	1	2	0	0	0	0	1	3	0	25	1	1	2	2	0	1	0	0	0	0	0	0	0	1	2	1	2	1	0	0	1	5	1	0	0	1	2	1	1	2	0	2	4	1	2	1
Corynebacterium_minutissimum	3	1	0	1	3	3	1	4	2	2	1	1	0	0	2	1	1	4	5	3	1	3	0	2	3	0	1	1	0	0	0	0	1	1	3	3	1	1	2	1	0	2	2	3	0	0	5	3	0	1	1	0	0	3	3	3	0	0	0	5	8	1	1	0	1	5	6	4	1
Corynebacterium_pseudotuberculosis	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2
Corynebacterium_pseudotuberculosis_Cp162	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	0	1	1	0	1	0	1	0	0	0	0	1
Corynebacterium_renale	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	1	1	3	3	1	0	5	1	1	0	0	0	0	1	0	0	0	0	0	1	0	2	2	3	1	1	2	1	0	2	0	0	3	0	1	0	0
Corynebacterium_segmentosum	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	7	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	2	1	2	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0
